1731238861.754125 server started (23799): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1731238861.754137 on Linux 6.11.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 01 Nov 2024 03:30:41 +0000
1731238861.754144 using libevent 2.1.12-stable poll
1731238861.754150 using utf8proc 2.9.0
1731238861.754152 using ncurses 6.5 20240427
1731238861.754186 input_key_build: 0x10e003 (PasteStart) is \033[200~
1731238861.754189 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1731238861.754192 input_key_build: 0x10e195 (F1) is \033OP
1731238861.754194 input_key_build: 0x10e196 (F2) is \033OQ
1731238861.754197 input_key_build: 0x10e197 (F3) is \033OR
1731238861.754199 input_key_build: 0x10e198 (F4) is \033OS
1731238861.754201 input_key_build: 0x10e199 (F5) is \033[15~
1731238861.754204 input_key_build: 0x10e19a (F6) is \033[17~
1731238861.754206 input_key_build: 0x10e19b (F7) is \033[18~
1731238861.754208 input_key_build: 0x10e19c (F8) is \033[19~
1731238861.754210 input_key_build: 0x10e19d (F9) is \033[20~
1731238861.754212 input_key_build: 0x10e19e (F10) is \033[21~
1731238861.754214 input_key_build: 0x10e19f (F11) is \033[23~
1731238861.754216 input_key_build: 0x10e1a0 (F12) is \033[24~
1731238861.754219 input_key_build: 0x10e1a1 (IC) is \033[2~
1731238861.754221 input_key_build: 0x10e1a2 (DC) is \033[3~
1731238861.754223 input_key_build: 0x10e1a3 (Home) is \033[1~
1731238861.754225 input_key_build: 0x10e1a4 (End) is \033[4~
1731238861.754227 input_key_build: 0x10e1a5 (NPage) is \033[6~
1731238861.754229 input_key_build: 0x10e1a6 (PPage) is \033[5~
1731238861.754231 input_key_build: 0x10e1a7 (BTab) is \033[Z
1731238861.754234 input_key_build: 0x10e1a8 (Up) is \033[A
1731238861.754237 input_key_build: 0x10e1a9 (Down) is \033[B
1731238861.754239 input_key_build: 0x10e1aa (Left) is \033[D
1731238861.754241 input_key_build: 0x10e1ab (Right) is \033[C
1731238861.754243 input_key_build: 0x10e1ac (KP/) is /
1731238861.754245 input_key_build: 0x10e1ad (KP*) is *
1731238861.754248 input_key_build: 0x10e1ae (KP-) is -
1731238861.754250 input_key_build: 0x10e1af (KP7) is 7
1731238861.754252 input_key_build: 0x10e1b0 (KP8) is 8
1731238861.754254 input_key_build: 0x10e1b1 (KP9) is 9
1731238861.754256 input_key_build: 0x10e1b2 (KP+) is +
1731238861.754259 input_key_build: 0x10e1b3 (KP4) is 4
1731238861.754261 input_key_build: 0x10e1b4 (KP5) is 5
1731238861.754263 input_key_build: 0x10e1b5 (KP6) is 6
1731238861.754265 input_key_build: 0x10e1b6 (KP1) is 1
1731238861.754267 input_key_build: 0x10e1b7 (KP2) is 2
1731238861.754269 input_key_build: 0x10e1b8 (KP3) is 3
1731238861.754272 input_key_build: 0x10e1b9 (KPEnter) is \n
1731238861.754274 input_key_build: 0x10e1ba (KP0) is 0
